species,female_locomotion_court.cobb1986.behavior,male_follow_court.cobb1986.behavior,wing_extension.cobb1986.behavior,row.cobb1986.behavior,scissor.cobb1986.behavior,vibrate.cobb1986.behavior,lick.cobb1986.behavior,attempted_cop.cobb1986.behavior,female_beh.cobb1986.behavior,hg1_male.tracy2020.morphology,hg1_female.tracy2020.morphology,hg2_male.tracy2020.morphology,hg2_female.tracy2020.morphology,hg3_male.tracy2020.morphology,hg3_female.tracy2020.morphology,hg4_male.tracy2020.morphology,hg4_female.tracy2020.morphology,wing_size_female.huey2006.morphology,wing_size_male.huey2006.morphology,thorax_size_female.huey2006.morphology,thorax_size_male.huey2006.morphology,food_preference.markow2015..1.fruit.2.cacti.3.slime_flux.4.vegetable..life_history,dessication_resistance_females.matzkin2009.physiology,dessication_resistance_males.matzkin2009.physiology,starvation_resistance_females.matzkin2009.physiology,starvation_resistance_males.matzkin2009.physiology,segment_1.kalay2019.morphology,segment_2.kalay2019.morphology,segment_3.kalay2019.morphology,segment_4.kalay2019.morphology,segment_5.kalay2019.morphology,segment_6.kalay2019.morphology,segment_7.kalay2019.morphology,segment_8.kalay2019.morphology,female_wing_display.merkow2005.behavior,number_coursthip_songs.merkow2005.behavior,thermal_tolerance_female.kellerman2012.physiology,thermal_tolerance_male.kellerman2012.physiology,male_thorax.lupold2016.morphology,sperm_length.lupold2016.morphology,female_thorax.lupold2016.morphology,egg_volume.lupold2016.morphology,ovariole_number.lupold2016.morphology,genome_size_female.hjelmen2019.molecular,genome_size_male.hjelmen2019.molecular,genome_size_sex_difference.hjelmen2019.molecular,front_leg.jezovitz2020.morphology,middle_leg.jezovitz2020.morphology,rear_leg.jezovitz2020.morphology,total_leg.jezovitz2020.morphology,body_size.jezovitz2020.morphology,ovariole_number.green2012.morphology,lifespan_male.ma2018.life_history,lifespan_female.ma2018.life_history,color_spot.prudhomme2006.morphology,trichrome_reduction.fuqua2020.morphology,male_pigment.signor2016.morphology,wing_display.yeh2006.behavior,pulse_song.ding2019.behavior,sine_song.ding2019.behavior,mates_in_dark.jezovit2017..matesindark1..middle2..doesnot3..behavior,environment.jezovit2017..cosmopolitan1..temperate2..tropical3..arid4..life_history,chc_dimorphism.jezovit2017..monomorphic1..dimorphic2..morphology,rna_exp_PC1.ma2018:molecular,rna_exp_PC2.ma2018:molecular,rna_exp_PC3.ma2018:molecular,markov_pc1.york2021:behavior,markov_pc2.york2021:behavior,occupancy_pc1.york2021:behavior,occupancy_pc2.york2021:behavior,behavior_cl_1.york2021:behavior,behavior_cl_2.york2021:behavior,behavior_cl_3.york2021:behavior,behavior_cl_4.york2021:behavior,behavior_cl_5.york2021behavior,behavior_cl_6.york2021:behavior,behavior_cl_7.york2021:behavior,behavior_space_percentage.york2021:behavior
C_costata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_lebanonensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_acanthoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.63,15.9,106.18,104.94,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1.13,5.83,1.15,7.1,41.88,155.8,145.6,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_wassermani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,4.52,1.15,6.7,33.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_pachea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.28,35.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,16.53,0.99,6,28.17,176.5,148.3,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_nannoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.57,31.14,103.87,106.41,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,41.79,41.67,0.99,15.74,1.06,7.3,37.6,245.9,250.1,-8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_bromeliae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.2,137.5,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_arizonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,31.94,141.12,129.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,42.42,42.46,0.95,1.52,1.05,5.4,34.6,175.4,173.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,-0.040305991,-0.05356843,-0.301469242,2.324290374,0.108424977,0.178132857,0.253211103,0.084741487,0.149074723,0.107971746,0.118443107,0.992002782
D_mojavensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,48.14,46.29,170.73,141.01,31.06327273,36.96245455,44.35645455,51.29345455,58.11636364,64.97845455,71.97,78.69945455,NA,1,43,42.95,0.89,1.9,1.03,5.4,33.17,165.6,168.7,-6.1,1444.44,1678.11,1800.84,1641.13,625.39,NA,42.46,36.31,NA,0,NA,NA,NA,NA,NA,4,2,6.516858484,17.79827234,-37.71385801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_navojoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.11,25.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40.73,40.98,NA,NA,NA,NA,NA,170,156.2,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
